ID,URL,suggest,topic,probabillity
1028,https://job.mynavi.jp/conts/2020/is_manner/04/,就活 かしこまりました,5,0.90915465
9788,http://bizsoku.hatenablog.com/entry/2017/11/22/115721,就活 ざまあ,8,0.9807128
1886,http://blog.esuteru.com/archives/9172258.html,就活 どうやって来ましたか,8,0.89913297
11879,http://blog.livedoor.jp/news23vip/archives/4383722.html,就活 ばっくれ 2ch,8,0.7633276
1142,http://camp-program.com/column/718/,就活 変わる,8,0.98883545
5785,http://ceron.jp/url/www.sankei.com/politics/news/180903/plt1809030031-n1.html,就活 ほっといてほしい,8,0.93000007
15026,http://kabumatome.doorblog.jp/archives/65914051.html,就活 抽選 嘘,8,0.98846394
9608,http://kinchiki-it.hatenablog.jp/entry/saving-job-hunting,就活 ご飯,8,0.9467714
17683,http://lovelovelove4.hatenablog.com/entry/2017/10/08/225750,就活 ジャニヲタ,8,0.9969533
17682,http://mikuric5.hatenablog.com/entry/2017/06/12/225538,就活 ジャニヲタ,8,0.98878807
4979,http://mochimochimochi.hatenablog.com/entry/2017/06/13/184048,就活 はてなブログ,8,0.99386966
3964,http://nanj-push.blog.jp/archives/75871719.html,就活 なんj,8,0.6653674
2925,http://nnt-sokuhou.com/,就活 まとめサイト,8,0.98078436
6386,http://nnt-sokuhou.com/archives/51663070.html,就活 むずすぎ,8,0.9807843
6482,http://sgnari.hatenadiary.jp/entry/2018/04/17/022917,就活 無気力,8,0.9906784
10487,http://shukatu-man.hatenablog.com/entry/civil-servant-workaround,就活 絶望,8,0.99364716
6479,http://shukatu-man.hatenablog.com/entry/syukatu-aspiration,就活 無理ゲー,8,0.99650836
2642,http://shukatu-man.hatenablog.com/entry/syukatu-Question,就活 座談会 質問,8,0.9919936
4963,http://skogaku.hatenablog.com/,就活 はてなブログ,8,0.9889367
17687,http://skrinyaknsa.hatenablog.com/entry/2018/07/14/164834,就活 ジャニヲタ,8,0.9880219
2201,http://www.dqooki.net/entry/%E5%B0%B1%E6%B4%BB%E3%81%97%E3%81%A6%E3%81%AA%E3%81%84%E3%81%91%E3%81%A9%E4%BD%95%E3%81%8B%EF%BC%9F,就活 しない,8,0.98481125
1899,http://www.okutta.net/article/461136480.html,就活 ここまでどうやって,8,0.77554375
11969,https://bagcom.jp/products/detail.php?product_id=1616,就活 ビジネスバッグ,8,0.90863544
6701,https://curazy.com/archives/204462,就活 めんどくさ すぎる,8,0.99279416
3166,https://freshlive.tv/cyberagent-recruit-ch,就活 ちゃんねる,8,0.9607636
6347,https://hatarakikata-design.com/%E5%B0%B1%E6%B4%BB%E3%81%AF%E8%A6%8B%E3%81%9F%E7%9B%AE%E3%83%BB%E5%A4%96%E8%A6%8B%E3%81%A7%E5%8D%B0%E8%B1%A1%E3%82%92%E5%88%A4%E6%96%AD%EF%BC%9F%E9%9D%A2%E6%8E%A5%E3%81%A7%E9%A1%94%E6%8E%A1%E7%94%A8/,就活 見た目,8,0.9771018
15186,https://hatarakikata-design.com/pros-list/,就活 長所 一覧,8,0.9918452
8868,https://icotto.jp/presses/7830,就活 がんばれ,8,0.9233688
4269,https://itunes.apple.com/jp/app/%E5%B0%B1%E6%B4%BB%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B9-%E5%AE%9A%E7%95%AA%E3%81%AE%E5%B0%B1%E8%81%B7%E6%B4%BB%E5%8B%95%E3%82%A2%E3%83%97%E3%83%AA/id945909323?mt=8,就活 ニュース アプリ,8,0.9856192
3646,https://job.mynavi.jp/conts/2019/tok/challenged/support/useful/,就活 手帳,8,0.84025896
10343,https://job.mynavi.jp/conts/2020/himitsu/,就活 ずるい,8,0.8691565
9344,https://job.mynavi.jp/conts/event/2019/w/seminar/3270/index.html,就活 グッズ プレゼント,8,0.9608
9342,https://job.mynavi.jp/conts/event/2019/w/seminar/3272/index.html,就活 グッズ プレゼント,8,0.9777273
4504,https://job.mynavi.jp/conts/event/2019/w/seminar/3293/index.html,就活 沼津,8,0.98468745
4506,https://job.mynavi.jp/conts/event/2019/w/seminar/3529/index.html,就活 沼津,8,0.98999995
13162,https://job.mynavi.jp/conts/event/2019/w/seminar/selectable_present.html,就活 プレゼント,8,0.9947312
13160,https://job.mynavi.jp/conts/event/2019/w/seminar/syuukatubook.html,就活 プレゼント,8,0.9842674
6287,https://lineblog.me/mogikenichiro/archives/2223831.html,就活 みんな同じ髪型,8,0.98338985
3186,https://lipscosme.com/posts/398752,就活 ちふれ 口紅,8,0.9564319
2959,https://matcher.jp/,就活 相談,8,0.9804
11585,https://matome.naver.jp/odai/2153446967301999201,就活 どうやって来ましたか,8,0.9662069
2105,https://news.careerconnection.jp/?p=13635,就活 サイレント,8,0.9802973
6539,https://news.careerconnection.jp/?p=14191,就活 無理 死ぬ,8,0.99263597
3545,https://news.careerconnection.jp/?p=14501,就活 みんしゅう つらい,8,0.99654925
4119,https://news.careerconnection.jp/?p=30599,就活 なぜ,8,0.9330909
5205,https://news.careerconnection.jp/?p=32191,就活 ひーる,8,0.97403896
6982,https://news.careerconnection.jp/?p=33173,就活 やめたい,8,0.9766667
14503,https://news.careerconnection.jp/?p=33347,就活 趣味 ゲーム,8,0.9772093
12864,https://news.careerconnection.jp/?p=34064,就活 パンツスーツ,8,0.9558267
13366,https://news.careerconnection.jp/?p=35495,就活 ぺたんこ靴,8,0.9887356
3466,https://news.careerconnection.jp/?p=36060,就活 つらい 2018,8,0.9879012
10348,https://news.careerconnection.jp/?p=37682,就活 氷河期,8,0.95592785
17482,https://news.careerconnection.jp/?p=50303,就活 業界 人気,8,0.9264629
13944,https://news.careerconnection.jp/?p=51023,就活 休日,8,0.98310345
805,https://news.careerconnection.jp/?p=51201,就活 お金,8,0.9875949
14942,https://news.careerconnection.jp/?p=53571,就活 中途採用,8,0.9855882
1242,https://news.careerconnection.jp/?p=59629,就活 きつい 2019,8,0.89312804
3426,https://news.careerconnection.jp/?p=8386,就活 つまらない,8,0.9964748
4166,https://newsoku.blog/archives/49087,就活 めんどくさい 2ch,8,0.91833335
11919,https://nuinet.club/2017/12/08/interview/,就活 倍率,8,0.98150945
18084,https://pinky-media.jp/I0021492,就活 女性 時計,8,0.9662069
15288,https://play.google.com/store/apps/details?id=com.inflect.syukatsunews&hl=ja,就活 ニュース アプリ,8,0.9920967
17544,https://ray-web.jp/37222,就活 業界 決め方,8,0.9962878
4960,https://taikutsunayoru.hatenablog.com/entry/2018/05/16/183928,就活 はてなブログ,8,0.9968993
10767,https://togetter.com/li/1074100,就活 だるい,8,0.8231191
5263,https://togetter.com/li/1086427,就活 ひとりで,8,0.97030306
17848,https://togetter.com/li/1157534,就活 授業 欠席,8,0.9766667
9268,https://togetter.com/li/1166609,就活 略礼服,8,0.98009026
3863,https://townwork.net/magazine/knowhow/mensetsu/baito_mst/59814/,就活 時計,8,0.9971421
11841,https://townwork.net/magazine/knowhow/search/baito_search/43231/,就活 ばいと,8,0.9986446
14369,https://townwork.net/magazine/life/50949/,就活 しゅみ,8,0.997989
2366,https://townwork.net/magazine/life/50956/,就活 すること,8,0.98352206
13786,https://townwork.net/magazine/life/53794/,就活 休学,8,0.99050313
719,https://twitter.com/40manbunno1/status/969207610242027520?lang=ar,就活 映画,8,0.6868271
12628,https://twitter.com/bozu_108/status/1036545183079432192,就活 坊主,8,0.95585155
11021,https://twitter.com/digmeeeee,就活 digmee,8,0.9902
12566,https://twitter.com/hiyayakkop11,就活 ぼっち,8,0.9879012
4768,https://twitter.com/katsuyatakasu/status/993600400908369920,就活 の ため に 整形,8,0.8656649
12301,https://twitter.com/kukubusu,就活 ブス,8,0.9883333
8483,https://twitter.com/rokishisama_130/status/960111194844512257,就活 ヲタ芸,8,0.9807843
9585,https://twitter.com/upgp3__4,就活 ごちゃん,8,0.98638886
8481,https://twitter.com/wotageishacho,就活 ヲタ芸,8,0.9812928
8479,https://twitter.com/wowow_saiyo,就活 wowow,8,0.9791191
13386,https://www.bubble-man.com/entry/jobhunting-pencase,就活 ペン,8,0.97110397
1880,https://www.buzzfeed.com/jp/hiroshiishii/mensetsu,就活 どうやって来ましたか,8,0.9623077
10363,https://www.buzzfeed.com/jp/sumirenakazono/shukatsu-suit-recruit,就活 ぜひ私服でお越しください,8,0.9554546
10228,https://www.gogo-jobcafe-shimane.jp/job/detail/467217/,就活 随時募集,8,0.98923075
403,https://www.kobe-np.co.jp/news/sougou/201806/0011351285.shtml,就活 つらかった,8,0.99634326
339,https://www.pixiv.net/tags.php?tag=%E5%B0%B1%E8%81%B7%E6%B4%BB%E5%8B%95,就活 いらすとや,8,0.74177885
17425,https://www.qoo10.jp/item/%E3%83%A1%E3%83%B3%E3%82%BA-%E7%B4%B3%E5%A3%AB%E3%83%99%E3%83%AB%E3%83%88-%E7%89%9B%E9%9D%A9-%E3%83%99%E3%83%AB%E3%83%88-%E3%83%AC%E3%83%83%E3%83%89-%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9-%E5%B0%B1%E6%B4%BB-%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88-%E7%B4%B3%E5%A3%AB%E3%83%99%E3%83%AB%E3%83%88-%E3%83%99%E3%83%AB%E3%83%88-%E3%83%A1%E3%83%B3%E3%82%BA-%E3%83%AC%E3%82%B6%E3%83%BC-%E7%88%B6%E3%81%AE%E6%97%A5-%E7%89%9B%E9%9D%A9%E3%83%99%E3%83%AB%E3%83%88/596173638,就活 牛革,8,0.98115385
17945,https://www.rh-navi.jp/mensetsu03_02.html,就活 女子 髪型,8,0.96934825
2765,https://www.rh-navi.jp/qanda01_click.html?qandano=19&kbn=1&cat=4,就活 その場で内定,8,0.9480052
16149,https://www.sumiyoshinotecho.com/entry/2016/10/15/081030,就活 面接 脈なし,8,0.9862758
12929,https://www.youtube.com/watch?v=CbpleZP5PUQ,就活 パーマ 女,8,0.62337595
1509,https://www.youtube.com/watch?v=QXTr63OINbw,就活 くせ毛,8,0.8326858
3147,https://www.youtube.com/watch?v=QYu5ACh0ze8,就活 大変,8,0.86722106
18147,https://yyy5-micmin.hatenablog.com/entry/2018/07/28/151535,就活 ビューラー,8,0.98597056
6869,https://job.mynavi.jp/conts/2020/posireco/casestudy_02.html,就活 もうやだ,9,0.68278474
4559,https://job.mynavi.jp/19/pc/search/corp83282/obog19013156/obog.html,就活 ぬいぐるみ,11,0.9736802
18200,https://job.mynavi.jp/conts/2019/keyword/syokusyu/syo732.html,就活 ビューティーアドバイザー,11,0.6910149
9485,http://aralumis.hateblo.jp/entry/2014/03/07/054714,就活 元気が出る曲,12,0.33746526
3909,https://www.amazon.co.jp/gp/bestsellers/fashion/333010011,就活 時計 女性,12,0.98444444
5924,https://job.mynavi.jp/conts/2019/keyword/gyoukai/g21.html,就活 ホテル業界,13,0.3642861
13065,https://job.mynavi.jp/conts/2019/tok/p/1330/,就活 ピアス 女,14,0.95201576
181,https://job.mynavi.jp/conts/2019/tok/p/1349/,就活 ありのまま,14,0.9068077
8206,https://job.mynavi.jp/conts/2019/tok/p/1401/,就活 わたくし,14,0.5158525
13984,https://job.mynavi.jp/conts/2019/tok/p/768/,就活 教育実習 重なる,14,0.9914782
15759,https://job.mynavi.jp/conts/2019/tok/p/903/,就活 ヒューマンスキル,14,0.8055346
5926,https://job.mynavi.jp/conts/2019/tok/p/974/,就活 ホテル業界,14,0.9725411
16729,https://www.amazon.co.jp/%E4%BA%95%E4%B8%8A-%E7%9C%9F%E9%87%8C/e/B00YK8AAFI,就活 略歴,14,0.85694665
5800,https://www.amazon.co.jp/gp/bestsellers/books/505474,就活 本 ランキング,14,0.8557614
16209,https://www.robertwalters.co.jp/career-advice/english-interview.html,就活 面接 質問 脈あり,14,0.76781577
344,https://job.mynavi.jp/conts/2019/manner/vol01/02.html,就活 持ち物,15,0.44822785
3208,https://job.mynavi.jp/conts/2019/sci/life/index3.html,就活 ちょろい,15,0.48692438
11187,http://www.manabu-oshieru.com/chugakujuken/sansu/kakudo.html,就活 図形問題,16,0.8243704
2603,https://job.mynavi.jp/19/pc/search/seminar.html?tab=seminar,就活 説明会,16,0.51000005
6639,http://job-asta.com/2018/02/27/syuukatu-hustle/,就活 めんどくさすぎ,17,0.9796855
12408,http://kirei.woman.excite.co.jp/t_salon/hair_style/list-keyword-%E5%B0%B1%E6%B4%BB--p1,就活 ベリーショート 女,17,0.9540336
10440,https://jeek.jp/school/job_hunting/posts/633,就活 ゼミ 書き方,17,0.98957574
11959,https://store.shopping.yahoo.co.jp/happyexp/bg-fs-f15vj-01.html,就活 バッグ メンズ,17,0.97304523
11939,https://store.shopping.yahoo.co.jp/ivy-cafe/bg-it-business-bag.html,就活 バッグ レディース,17,0.9730454
16828,https://store.shopping.yahoo.co.jp/y-souko/cee9c9fea1.html,就活 略礼服,17,0.9063402
16839,https://store.shopping.yahoo.co.jp/y-souko/rf7001.html,就活 略礼服,17,0.9063411
12267,https://wear.jp/sayasuke0130/10187379/,就活 ブラウス ユニクロ,17,0.7746039
7079,https://www.amazon.co.jp/%E3%82%8F%E3%81%8C%E5%AD%90%E3%81%AB%E5%85%AC%E5%8B%99%E5%93%A1%E3%82%92%E3%81%99%E3%81%99%E3%82%81%E3%81%9F%E3%81%84%E8%A6%AA%E3%81%AE%E6%9C%AC-%E5%B0%B1%E6%B4%BB%E7%94%9F%E3%81%AE%E8%A6%AA%E3%81%8C%E3%82%84%E3%82%8B%E3%81%B9%E3%81%8D%E3%81%93%E3%81%A8%E3%80%81%E3%82%84%E3%81%A3%E3%81%A6%E3%81%AF%E3%81%84%E3%81%91%E3%81%AA%E3%81%84%E3%81%93%E3%81%A8-%E5%AF%BA%E6%9C%AC-%E5%BA%B7%E4%B9%8B/dp/4788977613,就活 やること,17,0.93793845
12644,https://www.amazon.co.jp/%E3%82%BB%E3%83%BC%E3%83%A9%E3%83%BC%E4%B8%87%E5%B9%B4%E7%AD%86-%E5%B0%B1%E6%B4%BB%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%9A%E3%83%B3-4way-%E3%83%AD%E3%82%B4%E3%81%AA%E3%81%97-16-5410-220/dp/B0096NOMLA,就活 ボールペン,17,0.57325894
3128,https://www.amazon.co.jp/Yoursfs%E3%83%A1%E3%83%B3%E3%82%BA%E3%83%8D%E3%82%AF%E3%82%BF%E3%82%A4%E3%83%94%E3%83%B3-%E3%82%BF%E3%82%A4%E3%82%BF%E3%83%83%E3%82%AF-%E3%82%B7%E3%83%B3%E3%83%97%E3%83%AB%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB-%E3%83%8D%E3%82%AF%E3%82%BF%E3%82%A4%E4%BA%BA%E6%B0%97-%E5%B0%B1%E8%81%B7%E6%88%90%E4%BA%BA%E5%BC%8F%E8%A8%98%E5%BF%B5%E6%97%A5%E7%A5%9D%E3%81%84%E6%97%A5%E3%83%90%E3%83%AC%E3%83%B3%E3%82%BF%E3%82%A4%E3%83%B3%E3%83%87%E3%83%BC%E7%94%B7%E6%80%A7%E3%83%95%E3%82%A1%E3%83%83%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%A2%E3%82%AF%E3%82%BB%E3%82%B5%E3%83%AA%E3%83%BC/dp/B073W9LMV3,就活 ネクタイピン,17,0.9959671
1183,https://job.mynavi.jp/conts/2019/manner/vol01/,就活 ng 髪型,18,0.81203896
10144,https://job.mynavi.jp/conts/2020/,就活 準備,18,0.9554546
3485,https://g-news.net/08jj/1464,就活 つらい なんj,22,0.5642616
9883,https://job.mynavi.jp/conts/2020/zukan/11/,就活 雑誌,30,0.9711765
3249,https://job.mynavi.jp/conts/2020/shindan/,就活 長所,31,0.95100003
4888,http://d.hatena.ne.jp/crazyx12-3/20090125/1232885770,就活 ノイローゼ,34,0.641848
5929,https://job.mynavi.jp/conts/2019/tok/p/1006/,就活 ホテル業界,34,0.7511138
7167,https://job.mynavi.jp/conts/2019/tok/p/1332/,就活 ゆっくり,34,0.5603284
9009,https://journal.rikunabi.com/trend/index.html,就活 業界研究,34,0.9262469
10264,https://job.mynavi.jp/19/pc/corpinfo/displaySeminar/index/?optNo=oNEQgC&corpId=99054&_vsm=mLRwqgCAILk7shSsZ6y-HVkLX6JiqDtTgwtC0mHjFLsXnG6YHxLY8vBSQE9CF0LtHSRp2yEAy9G7sjsE-1CtaLLTRjWse7VA3WVkFOIxXB0eLpti5n60Cy_O0wUEfsadyo0Cw-G7uL51XxCWD1kRgmuzuB6YuayKSjlXYKGpexqTk1diLkEiwTtBVlq0KBoY_R9armCmprR_rrFUhqqhT8U6_sMDTCFNbqr450Svj8VWlCedjMLBLmmbTQr6vU0d,就活 随時募集 電話,36,0.33045056
9564,https://job.mynavi.jp/19/pc/search/corp109152/theme.html?answer=HSOgd&_vsm=dY1yK1eOcxdzk423mNiPBY-wAPhWILzqUpjlgqFLh_7h7n-Q7UJQfYNtQAD0ZV3_HlU9lOS0npVUfaBz8Xmb1qk3CEf4zmhEPp8X2sBR-ANJmLDQhy30zIM0NJKtCHNNKBikrctA9lr2xcse6IpumgsqYjpSizHVy977hUMvEe3YLH2VkKhbBJz-Lu3q-GQU--6FhdGzf4DySYFVt5_NREEbeD0u0IQF81nRFeWrGhVeZOfQ5kc-CX2jJIkLKPZI,就活 ご縁がありましたら,37,0.9791489
4284,https://job.mynavi.jp/conts/2019/tok/nikkei/ranking19/ranking_index.html,就活 人気企業,38,0.5937877
12123,https://job.mynavi.jp/conts/event/2019/expo/2920/index.html,就活 ビックサイト,38,0.590463
204,https://job.mynavi.jp/conts/2020/schedule/,就活 時期,40,0.80234766
8147,https://job.mynavi.jp/conts/2020/tv/ondemand.html?page=1&PHPSESSID=hjiebu32f59b0tc9flfa3c62i5,就活 ログイン回数,40,0.68823576
8156,https://job.mynavi.jp/conts/2020/tv/ondemand.html?page=2&PHPSESSID=7h570s7esginopn0rjiirjdpi3,就活 ログイン回数,40,0.6882471
18219,https://job.mynavi.jp/19/pc/search/corp77963/outline.html,就活 ビューティーアドバイザー,42,0.4488178
12505,https://store.shopping.yahoo.co.jp/chama-shop/belt.html,就活 ベルト バックル,45,0.53554285
2309,https://job.mynavi.jp/conts/2020/susumekata/,就活 すること,46,0.8317216
6600,https://job.mynavi.jp/conts/2019/manner/vol06/02.html,就活 入室,47,0.87720305
